,start_time,end_time,instrument,note,note_value
0,33246,86494,43,58,Quarter
1,33246,86494,41,70,Quarter
2,86494,132574,42,67,Quarter
3,86494,170974,42,58,Half
4,86494,132574,43,63,Quarter
5,86494,132574,41,75,Quarter
6,86494,108509,1,51,Eighth
7,86494,108509,1,39,Eighth
8,108509,132574,1,55,Eighth
9,108509,132574,1,43,Eighth
10,132574,153566,1,58,Eighth
11,132574,170974,42,65,Quarter
12,132574,170974,43,62,Quarter
13,132574,170974,41,74,Quarter
14,132574,153566,1,46,Eighth
15,153566,170974,1,56,Eighth
16,153566,170974,1,44,Eighth
17,170974,213982,43,63,Quarter
18,170974,192990,1,55,Eighth
19,170974,192990,1,43,Eighth
20,170974,206814,42,58,Dotted Eighth
21,170974,213982,41,75,Quarter
22,170974,206814,42,67,Dotted Eighth
23,192990,213982,1,51,Eighth
24,192990,213982,1,39,Eighth
25,213982,250846,43,65,Quarter
26,213982,234974,1,50,Eighth
27,213982,234974,1,38,Eighth
28,213982,250846,41,77,Quarter
29,213982,250846,42,68,Quarter
30,213982,294366,42,58,Half
31,234974,250846,1,53,Eighth
32,234974,250846,1,41,Eighth
33,250846,294366,43,62,Quarter
34,250846,272350,1,58,Eighth
35,250846,272350,1,46,Eighth
36,250846,294366,41,74,Quarter
37,250846,294366,42,65,Quarter
38,272350,294366,1,44,Eighth
39,272350,294366,1,56,Eighth
40,294366,313822,1,43,Eighth
41,294366,328158,42,67,Dotted Eighth
42,294366,313822,1,55,Eighth
43,294366,328158,41,75,Dotted Eighth
44,294366,328158,42,58,Dotted Eighth
45,294366,328158,43,63,Dotted Eighth
46,313822,335326,1,39,Eighth
47,313822,335326,1,51,Eighth
48,335838,379870,43,68,Quarter
49,335838,357342,42,51,Eighth
50,335838,357342,42,63,Eighth
51,335838,357854,1,48,Eighth
52,335838,357854,1,36,Eighth
53,335838,379870,41,80,Quarter
54,357854,379870,1,51,Eighth
55,357854,402397,42,63,Quarter
56,357854,402397,42,51,Quarter
57,357854,379870,1,39,Eighth
58,379870,403422,1,34,Eighth
59,379870,425438,43,67,Quarter
60,379870,403422,1,46,Eighth
61,379870,425438,41,79,Quarter
62,403422,446942,42,63,Quarter
63,403422,425438,1,51,Eighth
64,403422,425438,1,39,Eighth
65,403422,446942,42,51,Quarter
66,425438,446942,1,32,Eighth
67,425438,446942,41,77,Eighth
68,425438,446942,43,65,Eighth
69,425438,446942,1,44,Eighth
70,446942,464862,42,60,Eighth
71,446942,465374,1,53,Eighth
72,446942,465374,1,41,Eighth
73,446942,464862,42,63,Eighth
74,446942,465374,41,72,Eighth
75,446942,465374,43,60,Eighth
76,465374,508894,43,63,Quarter
77,465374,488414,1,45,Eighth
78,465374,488414,1,33,Eighth
79,465374,508894,41,75,Quarter
80,465374,508894,42,60,Quarter
81,465374,567774,42,65,Half
82,488414,508894,1,41,Eighth
83,488414,508894,1,53,Eighth
84,508894,567774,42,58,Tied Quarter-Sixteenth
85,508894,567774,41,74,Tied Quarter-Sixteenth
86,508894,567774,43,62,Tied Quarter-Sixteenth
87,508894,530910,1,46,Eighth
88,508894,530910,1,34,Eighth
89,531422,552414,1,53,Eighth
90,531422,552414,1,41,Eighth
91,552414,576478,1,58,Eighth
92,552414,576478,1,46,Eighth
93,576478,599518,41,74,Eighth
94,576478,599518,42,50,Eighth
95,576478,599518,42,60,Eighth
96,576478,599518,43,62,Eighth
97,576478,600030,1,56,Eighth
98,576478,600030,1,44,Eighth
99,600030,644062,43,62,Quarter
100,600030,624094,1,55,Eighth
101,600030,624094,42,59,Eighth
102,600030,624094,42,50,Eighth
103,600030,624094,1,43,Eighth
104,600030,644062,41,74,Quarter
105,624094,644062,1,31,Eighth
106,624094,643550,42,65,Eighth
107,624094,644062,1,43,Eighth
108,644062,665566,1,48,Eighth
109,644062,703454,43,63,Tied Quarter-Sixteenth
110,644062,703454,42,63,Tied Quarter-Sixteenth
111,644062,665566,1,36,Eighth
112,644062,703454,41,75,Tied Quarter-Sixteenth
113,644062,703454,42,55,Tied Quarter-Sixteenth
114,666078,688094,1,43,Eighth
115,666078,688094,1,55,Eighth
116,688094,710622,1,60,Eighth
117,688094,710622,1,48,Eighth
118,710622,732126,1,58,Eighth
119,710622,731613,41,75,Eighth
120,710622,731613,42,51,Eighth
121,710622,731613,42,61,Eighth
122,710622,731613,43,63,Eighth
123,710622,732126,1,46,Eighth
124,732126,754141,41,75,Eighth
125,732126,754141,1,56,Eighth
126,732126,754141,1,44,Eighth
127,732126,754141,42,51,Eighth
128,732126,754141,43,63,Eighth
129,732126,754141,42,60,Eighth
130,754141,778206,41,76,Eighth
131,754141,778206,42,66,Eighth
132,754141,778206,43,64,Eighth
133,754141,778718,1,44,Eighth
134,754141,778718,1,32,Eighth
135,778718,834526,42,56,Tied Quarter-Sixteenth
136,778718,834526,43,65,Tied Quarter-Sixteenth
137,778718,802270,1,49,Eighth
138,778718,802270,1,37,Eighth
139,778718,834526,41,77,Tied Quarter-Sixteenth
140,778718,834526,42,65,Tied Quarter-Sixteenth
141,802782,820702,1,56,Eighth
142,802782,820702,1,44,Eighth
143,820702,842206,1,61,Eighth
144,820702,842206,1,49,Eighth
145,842206,863710,41,77,Eighth
146,842206,863710,42,57,Eighth
147,842206,863710,42,63,Eighth
148,842206,863710,43,65,Eighth
149,842206,864222,1,59,Eighth
150,842206,864222,1,47,Eighth
151,864222,887262,42,62,Eighth
152,864222,887262,41,77,Eighth
153,864222,887262,42,58,Eighth
154,864222,887262,43,65,Eighth
155,864222,887262,1,58,Eighth
156,864222,887262,1,46,Eighth
157,887262,909790,41,78,Eighth
158,887262,909790,42,68,Eighth
159,887262,909790,43,66,Eighth
160,887262,909790,1,46,Eighth
161,887262,909790,1,34,Eighth
162,909790,932318,41,79,Eighth
163,909790,932318,43,67,Eighth
164,909790,932318,1,51,Eighth
165,909790,932318,1,39,Eighth
166,909790,948702,42,58,Dotted Eighth
167,909790,948702,42,67,Dotted Eighth
168,932318,955870,43,63,Eighth
169,932318,955870,41,75,Eighth
170,932318,956382,1,55,Eighth
171,932318,956382,1,43,Eighth
172,956382,994782,42,57,Dotted Eighth
173,956382,994782,42,63,Dotted Eighth
174,956382,980445,1,41,Eighth
175,956382,973278,41,72,Dotted Sixteenth
176,956382,973278,43,60,Dotted Sixteenth
177,956382,980445,1,53,Eighth
178,980445,1001950,1,29,Eighth
179,980445,988126,41,69,Triplet Sixteenth
180,980445,988126,43,57,Triplet Sixteenth
181,980445,1001950,1,41,Eighth
182,1002462,1049566,41,72,Quarter
183,1002462,1026014,1,46,Eighth
184,1002462,1026014,1,34,Eighth
185,1002462,1049566,42,57,Quarter
186,1002462,1049566,42,63,Quarter
187,1002462,1049566,43,60,Quarter
188,1026014,1049566,1,50,Eighth
189,1026014,1049566,1,38,Eighth
190,1049566,1134046,42,62,Dotted Quarter
191,1049566,1073118,1,41,Eighth
192,1049566,1112542,41,70,Tied Quarter-Sixteenth
193,1049566,1112542,43,58,Tied Quarter-Sixteenth
194,1049566,1134046,42,58,Dotted Quarter
195,1049566,1073118,1,53,Eighth
196,1073118,1096670,1,58,Eighth
197,1073118,1096670,1,46,Eighth
198,1096670,1119710,1,57,Eighth
199,1096670,1119710,1,45,Eighth
200,1119710,1145822,43,58,Eighth
201,1119710,1145822,41,70,Eighth
202,1119710,1145822,1,58,Eighth
203,1119710,1145822,1,46,Eighth
204,1146334,1167326,42,58,Eighth
205,1146334,1167326,42,68,Eighth
206,1146334,1167838,1,46,Eighth
207,1146334,1167838,1,34,Eighth
208,1146334,1189342,41,77,Quarter
209,1146334,1189342,43,65,Quarter
210,1167838,1189342,1,50,Eighth
211,1167838,1189342,1,38,Eighth
212,1167838,1209822,42,58,Quarter
213,1167838,1209822,42,68,Quarter
214,1189342,1230814,41,74,Quarter
215,1189342,1209822,1,53,Eighth
216,1189342,1209822,1,41,Eighth
217,1189342,1230814,43,62,Quarter
218,1209822,1230814,1,58,Eighth
219,1209822,1230814,1,46,Eighth
220,1209822,1252830,42,58,Quarter
221,1209822,1252830,42,68,Quarter
222,1230814,1252830,1,57,Eighth
223,1230814,1252830,1,45,Eighth
224,1230814,1268190,41,70,Dotted Eighth
225,1230814,1268190,43,58,Dotted Eighth
226,1252830,1275358,42,58,Eighth
227,1252830,1275358,42,62,Eighth
228,1252830,1275358,1,58,Eighth
229,1252830,1275358,1,46,Eighth
230,1276382,1297886,42,58,Eighth
231,1276382,1297886,42,68,Eighth
232,1276382,1298398,1,46,Eighth
233,1276382,1298398,1,34,Eighth
234,1276382,1312222,41,77,Dotted Eighth
235,1276382,1312222,43,65,Dotted Eighth
236,1298398,1319390,1,50,Eighth
237,1298398,1319390,1,38,Eighth
238,1298398,1335774,42,58,Quarter
239,1298398,1335774,42,68,Quarter
240,1319390,1336286,41,79,Eighth
241,1319390,1336286,43,67,Eighth
242,1319390,1336286,1,53,Eighth
243,1319390,1336286,1,41,Eighth
244,1336286,1359326,1,46,Eighth
245,1336286,1358814,41,77,Eighth
246,1336286,1358814,43,65,Eighth
247,1336286,1359326,42,68,Eighth
248,1336286,1359326,1,58,Eighth
249,1336286,1380318,42,58,Quarter
250,1359326,1380318,42,65,Eighth
251,1359326,1374686,41,74,Dotted Sixteenth
252,1359326,1374686,43,62,Dotted Sixteenth
253,1359326,1381854,1,56,Eighth
254,1359326,1381854,1,44,Eighth
255,1381854,1389534,41,70,Triplet Sixteenth
256,1381854,1389534,43,58,Triplet Sixteenth
257,1381854,1403870,42,58,Eighth
258,1381854,1403870,42,65,Eighth
259,1381854,1403870,1,58,Eighth
260,1381854,1403870,1,46,Eighth
261,1404382,1424350,1,55,Eighth
262,1404382,1424350,1,43,Eighth
263,1404382,1445853,41,70,Quarter
264,1404382,1445853,43,58,Quarter
265,1424350,1445853,1,58,Eighth
266,1424350,1445853,1,46,Eighth
267,1424350,1466846,42,55,Quarter
268,1424350,1466846,42,63,Quarter
269,1445853,1467358,1,55,Eighth
270,1445853,1467358,1,43,Eighth
271,1445853,1482206,41,75,Dotted Eighth
272,1445853,1482206,43,63,Dotted Eighth
273,1467358,1489374,1,51,Eighth
274,1467358,1489374,1,39,Eighth
275,1467358,1508830,42,55,Quarter
276,1467358,1508830,42,63,Quarter
277,1489374,1509342,1,34,Eighth
278,1489374,1509342,1,46,Eighth
279,1489374,1530333,41,82,Quarter
280,1489374,1530333,43,70,Quarter
281,1509342,1530333,1,31,Eighth
282,1509342,1553374,42,63,Quarter
283,1509342,1530333,1,43,Eighth
284,1509342,1553374,42,67,Quarter
285,1530333,1612254,43,69,Dotted Quarter
286,1530333,1553374,1,48,Eighth
287,1530333,1553374,1,36,Eighth
288,1530333,1612254,41,81,Dotted Quarter
289,1553374,1600478,42,63,Quarter
290,1553374,1600478,42,67,Quarter
291,1553374,1576926,1,51,Eighth
292,1553374,1576926,1,39,Eighth
293,1576926,1600990,1,43,Eighth
294,1576926,1600990,1,55,Eighth
295,1600990,1628638,1,60,Eighth
296,1600990,1628638,1,48,Eighth
297,1600990,1659870,42,63,Quarter
298,1600990,1659870,42,67,Quarter
299,1629150,1660382,1,43,Eighth
300,1629150,1660382,1,55,Eighth
301,1629150,1682910,41,82,Quarter
302,1629150,1682910,43,70,Quarter
303,1660382,1682910,1,58,Eighth
304,1660382,1682910,1,46,Eighth
305,1660382,1705438,42,67,Quarter
306,1660382,1705438,42,63,Quarter
307,1682910,1744862,41,81,Tied Quarter-Sixteenth
308,1682910,1705950,1,60,Eighth
309,1682910,1705950,1,48,Eighth
310,1682910,1744862,43,69,Tied Quarter-Sixteenth
311,1705950,1728478,1,63,Eighth
312,1705950,1752030,42,63,Quarter
313,1705950,1752030,42,67,Quarter
314,1705950,1728478,1,51,Eighth
315,1728478,1752030,1,67,Eighth
316,1728478,1752030,1,55,Eighth
317,1752542,1802718,42,67,Quarter
318,1752542,1769438,41,84,Dotted Sixteenth
319,1752542,1769438,43,72,Dotted Sixteenth
320,1752542,1769438,1,45,Dotted Sixteenth
321,1752542,1769438,1,33,Dotted Sixteenth
322,1752542,1802718,42,63,Quarter
323,1778142,1796062,1,46,Dotted Sixteenth
324,1778142,1796062,1,34,Dotted Sixteenth
325,1778142,1796062,41,82,Dotted Sixteenth
326,1778142,1796062,43,70,Dotted Sixteenth
327,1803230,1812446,41,81,Triplet Sixteenth
328,1803230,1812446,43,69,Triplet Sixteenth
329,1803230,1812446,1,48,Triplet Sixteenth
330,1803230,1812446,1,36,Triplet Sixteenth
331,1803230,1827294,42,63,Eighth
332,1803230,1827294,42,67,Eighth
333,1827806,1849822,1,50,Eighth
334,1827806,1849822,1,38,Eighth
335,1827806,1864158,42,60,Dotted Eighth
336,1827806,1864158,42,66,Dotted Eighth
337,1827806,1871325,41,81,Quarter
338,1827806,1871325,43,57,Quarter
339,1849822,1871325,1,50,Eighth
340,1849822,1871325,1,62,Eighth
341,1871325,1893853,1,55,Eighth
342,1871325,1893853,1,67,Eighth
343,1871325,1908190,42,58,Dotted Eighth
344,1871325,1908190,42,67,Dotted Eighth
345,1871325,1914846,41,82,Quarter
346,1871325,1914846,43,58,Quarter
347,1893853,1914846,1,55,Eighth
348,1893853,1914846,1,43,Eighth
349,1914846,1939422,1,53,Eighth
